Файл відкрито | example.txt | Всього відкрито: 1
Файл Ззкрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл Ззкрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл Ззкрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл Ззкрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл Ззкрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл Ззкрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл закрито | example.txt | Всього відкрито: 0
Файл відкрито | example.txt | Всього відкрито: 1
Файл закрито | example.txt | Всього відкрито: 0
